drop_param,dim,kappa,budget,n_runs,mean_relative_optimality,std_relative_optimality,mean_final_gap,std_final_gap,mean_initial_gap,mean_grad_evals,std_grad_evals,mean_drop_events,mean_restart_events,mean_clip_events
0.0,100,100.0,10000.0,5,8.359870137830777e-06,7.121387504440636e-06,0.3164169465811767,0.26954099195626335,37849.505,10191.8,259.6511120715642,526.6,0.8,5.6
0.25,100,100.0,10000.0,5,8.350319575051793e-06,4.219422779378771e-06,0.3160554625075207,0.15970306358521066,37849.505,10058.4,76.83944299641949,520.4,1.0,4.8
0.5,100,100.0,10000.0,5,4.583575162712944e-06,1.7610497756823183e-06,0.17348605103897938,0.06665486228993679,37849.505,10241.4,365.7660454443523,552.8,1.0,4.4
0.75,100,100.0,10000.0,5,4.646899938578289e-06,2.205073418435812e-06,0.17588286245971857,0.08346093737645337,37849.505,10285.0,290.90376415577714,553.2,1.0,6.2
1.0,100,100.0,10000.0,5,3.904172884405291e-06,1.6169992614782862e-06,0.1477710111091625,0.061202621632318696,37849.505,10100.0,105.18079672639868,563.8,1.0,5.0
