max_hierarchy_size,dim,kappa,budget,n_runs,mean_relative_optimality,std_relative_optimality,mean_final_gap,std_final_gap,mean_initial_gap,mean_grad_evals,std_grad_evals,mean_drop_events,mean_restart_events,mean_clip_events
100,100,100.0,10000.0,5,8.130290629505523e-06,5.799709639993995e-06,0.3077274758329224,0.21951613901750092,37849.505,10239.6,237.20307755170464,527.8,0.8,5.8
500,100,100.0,10000.0,5,9.76409826320258e-06,6.947285534335833e-06,0.3695662860335773,0.2629513185682718,37849.505,10177.6,245.49806516549168,514.8,1.0,6.0
1000,100,100.0,10000.0,5,7.128097967520506e-06,3.775296756617349e-06,0.26979497966215715,0.1428931134660721,37849.505,10155.0,217.8003673091485,530.0,1.0,5.6
