restart_param,dim,kappa,budget,n_runs,mean_relative_optimality,std_relative_optimality,mean_final_gap,std_final_gap,mean_initial_gap,mean_grad_evals,std_grad_evals,mean_drop_events,mean_restart_events,mean_clip_events
0.0,100,100.0,10000.0,5,4.438896814623665e-06,2.7244251729996348e-06,0.1680100471795825,0.10311814420757552,37849.505,10424.0,289.6368415792439,556.4,1.0,5.2
0.25,100,100.0,10000.0,5,4.205784401735564e-06,2.971881321879923e-06,0.15918685774241226,0.11248423695190074,37849.505,10196.6,217.3540889884522,564.6,1.0,4.6
0.5,100,100.0,10000.0,5,4.643396528753275e-06,2.1050621524887044e-06,0.1757502601320297,0.07967556046593197,37849.505,10243.4,195.16095921059622,552.6,1.0,4.8
0.75,100,100.0,10000.0,5,6.408013846872405e-06,3.829155013767207e-06,0.24254015213726632,0.14493162183935698,37849.505,10021.6,27.889065957826556,537.8,1.0,5.0
1.0,100,100.0,10000.0,5,4.010904413365006e-06,1.8488851591075391e-06,0.15181074664818084,0.06997938807406659,37849.505,10157.4,157.01528588006965,561.4,1.0,3.6
