eps,dim,kappa,budget,n_runs,mean_relative_optimality,std_relative_optimality,mean_final_gap,std_final_gap,mean_initial_gap,mean_grad_evals,std_grad_evals,mean_drop_events,mean_restart_events,mean_clip_events
0.3,100,100.0,10000.0,5,4.259151769864931e-06,1.5756618601170665e-06,0.16120678620926157,0.059638021452810205,37849.505,10079.8,97.18899114611696,553.2,1.0,5.2
0.5,100,100.0,10000.0,5,3.033226574837441e-06,1.5949489331880004e-06,0.11480612441044258,0.06036802762144388,37849.505,10380.6,436.0513731201864,575.2,1.2,5.6
0.577,100,100.0,10000.0,5,1.214609347519289e-05,8.63061049690312e-06,0.45972362571978065,0.32666433515558707,37849.505,10097.0,129.6919426949878,509.6,0.8,5.4
0.7,100,100.0,10000.0,5,4.333573837889853e-06,2.148520691229948e-06,0.16402362464508116,0.08132044464531135,37849.505,10133.2,119.4830531916556,557.4,1.0,4.8
1.0,100,100.0,10000.0,5,3.926805823971493e-06,2.8069628674650025e-06,0.14862765666843814,0.10624215508693095,37849.505,10353.0,435.72296244288066,568.8,1.0,4.8
