case,dim,kappa,budget,n_runs,mean_relative_optimality,std_relative_optimality,mean_final_gap,std_final_gap,mean_initial_gap,mean_grad_evals,std_grad_evals,mean_drop_events,mean_restart_events,mean_clip_events
add_only,100,100.0,10000.0,5,0.10074913751812295,0.0077302770818931665,3813.3049842378814,292.5871610625008,37849.505,9981.2,28.411265371327623,0.0,0.0,0.0
add_drop,100,100.0,10000.0,5,0.09755880060971166,0.007693200455210587,3692.552311471284,291.18382909549535,37849.505,9964.2,25.60663976393623,71.6,0.0,0.0
add_drop_restart,100,100.0,10000.0,5,0.0006382597252983214,0.0010038206506570511,24.15781466397744,37.99411473614731,37849.505,10832.2,1506.8293533111173,388.0,1.4,0.0
all_clip,100,100.0,10000.0,5,8.35818999646863e-06,9.032264342910706e-06,0.3163533540622893,0.3418667344083204,37849.505,10056.4,94.38379098129084,534.0,1.0,4.2
